,id,name,popularity
258,1,George Lucas,4.915374
259,12890,Pete Docter,2.267856
260,366,James Mangold,1.083671
261,1,George Lucas,4.915374
262,66193,Chris Sanders,0.791216
263,71267,Kirk De Micco,1.2e-05
264,20674,Thomas Langmann,0.000101
265,24886,Frédéric Forestier,0.45918
266,11401,John Woo,1.04364
267,1454884,Cedric Nicolas-Troyan,0.043555
268,66739,Jonathan Liebesman,0.247043
269,11218,Alfonso Cuarón,0.842703
270,21370,Roger Donaldson,1.413908
271,1101410,Dave Green,8e-06
272,934803,Josh Trank,0.000112
273,17825,Shawn Levy,0.889116
274,132876,Brad Peyton,1.055833
275,1724,Roger Spottiswoode,0.631155
276,6046,Roland Emmerich,1.975199
277,1884,Steven Soderbergh,2.429935
278,11694,Doug Liman,2.249579
279,57270,Robert Schwentke,1.067128
280,1032,Martin Scorsese,5.09931
281,65630,Rob Letterman,0.088035
282,201,Michel Gondry,0.052132
283,78914,Noam Murro,0.32928
284,1215,Raja Gosnell,0.82312
285,70287,Will Finn,8e-06
286,80671,John Sanford,0.000424
287,57270,Robert Schwentke,1.067128
288,17825,Shawn Levy,0.889116
289,1215,Raja Gosnell,0.82312
290,2209,Jan de Bont,0.927403
291,13079,Gavin Hood,0.135905
292,3950,Len Wiseman,1.510014
293,108,Peter Jackson,2.684107
294,57370,Frank Coraci,0.752279
295,638,Michael Mann,2.224465
296,5133,Bo Welch,0.011977
297,21085,Alex Proyas,0.126389
298,578,Ridley Scott,3.277801
299,18898,Rob Minkoff,0.139936
300,15810,Ron Clements,0.638973
301,15811,John Musker,0.25507
302,578,Ridley Scott,3.277801
303,865,Michael Bay,2.567437
304,36804,Peter Chelsom,0.265088
305,58498,Dominic Sena,0.000175
306,578,Ridley Scott,3.277801
307,488,Steven Spielberg,7.205305
308,10965,Chris Columbus,1.358227
309,10702,Martin Campbell,2.01431
310,510,Tim Burton,2.560796
311,2710,James Cameron,4.973699
312,638,Michael Mann,2.224465
313,578,Ridley Scott,3.277801
314,2710,James Cameron,4.973699
315,893,Tony Scott,1.587386
316,3289,Paul Weitz,1.195435
317,55710,Adam McKay,0.605519
318,26713,Chuck Russell,0.697298
319,138,Quentin Tarantino,7.399707
320,62047,Gary Trousdale,0.471065
321,62048,Kirk Wise,8e-06
322,61411,Mark Dindal,0.004918
323,12786,Simon West,1.826532
324,12962,Jon Turteltaub,2.961042
325,25453,Stefen Fangmeier,1.1e-05
326,5953,Spike Jonze,2.240844
327,5713,Chris Wedge,1.833334
328,8193,Florian Henckel von Donnersmarck,1.56
329,37710,Peter Hyams,0.306967
330,9181,Edward Zwick,1.089369
331,1032,Martin Scorsese,5.09931
332,5572,Joel Schumacher,0.483252
333,10491,Paul Verhoeven,0.714402
334,1071,Tom Tykwer,0.052901
335,9339,Lilly Wachowski,1.711121
336,9340,Lana Wachowski,1.119525
337,15217,Zack Snyder,4.108712
338,4586,Pitof,1e-05
339,11091,Brett Ratner,1.590795
340,15810,Ron Clements,0.638973
341,15811,John Musker,0.25507
342,11887,Brad Silberling,0.707719
343,143059,Patrick Hughes,0.330383
344,21673,Ericson Core,3e-06
345,64191,Lawrence Guterman,0.014695
346,6159,Ron Howard,5.661356
347,33485,Ron Underwood,0.554129
348,25598,Paul Greengrass,1.532249
349,71729,Steve Martino,2e-06
350,1255,David Mamet,0.715149
351,7775,Stephen Sommers,0.775132
352,1032,Martin Scorsese,5.09931
353,607,Zhang Yimou,1.604323
354,12905,Ash Brannon,0.059988
355,15774,Chris Buck,1.145082
356,7908,Frank Oz,1.885291
357,578,Ridley Scott,3.277801
358,6737,Jay Roach,0.176048
359,59,Luc Besson,4.000464
360,38023,Michael Patrick King,9.8e-05
361,27005,Don Michael Paul,0.798983
362,65629,Bibo Bergeron,2.8e-05
363,71729,Steve Martino,2e-06
364,229962,Mike Thurmeier,0.478654
365,11181,Kenneth Branagh,5.63951
366,108,Peter Jackson,2.684107
367,7,Andrew Stanton,1.588633
368,108,Peter Jackson,2.684107
369,108,Peter Jackson,2.684107
370,130938,Sergei Bodrov,2.215297
371,12786,Simon West,1.826532
372,559,Wally Pfister,0.010496
373,4945,Joe Johnston,2.11807
374,77357,Rupert Wyatt,0.671
375,54050,Mark Waters,0.104971
376,12028,John Moore,0.445214
377,54040,John Lee Hancock,0.783572
378,7087,Brad Bird,2.76686
379,16938,Renny Harlin,0.06144
380,10965,Chris Columbus,1.358227
381,5174,Barry Sonnenfeld,1.260464
382,7879,John Lasseter,1.841616
383,893,Tony Scott,1.587386
384,11091,Brett Ratner,1.590795
385,24,Robert Zemeckis,1.619012
386,107446,Phil Lord,0.613579
387,155267,Christopher Miller,0.216076
388,5714,Carlos Saldanha,0.652966
389,7399,Ben Stiller,3.739802
390,36425,McG,0.66664
391,1032,Martin Scorsese,5.09931
392,66190,Tony Bancroft,0.000253
393,66191,Barry Cook,0.000143
394,7399,Ben Stiller,3.739802
395,7467,David Fincher,5.204688
396,1090,John McTiernan,1.540545
397,956,Guy Ritchie,2.797095
398,23430,Timur Bekmambetov,0.002877
399,62047,Gary Trousdale,0.471065
400,62048,Kirk Wise,8e-06
401,68573,Walt Becker,0.02728
402,9032,Bryan Singer,3.576538
403,17494,Dennis Dugan,2.345035
404,10965,Chris Columbus,1.358227
